teacher_code,class_id,subject,academic_year,semester
G-02,7A,BAHASA SUNDA,2025/2026,Ganjil
G-02,7B,BAHASA SUNDA,2025/2026,Ganjil
G-02,7C,BAHASA SUNDA,2025/2026,Ganjil
G-02,7D,BAHASA SUNDA,2025/2026,Ganjil
G-02,7E,BAHASA SUNDA,2025/2026,Ganjil
G-02,7F,BAHASA SUNDA,2025/2026,Ganjil
G-03,7A,PJOK,2025/2026,Ganjil
G-03,7B,PJOK,2025/2026,Ganjil
G-03,7C,PJOK,2025/2026,Ganjil
G-03,7D,PJOK,2025/2026,Ganjil
G-19,7E,PJOK,2025/2026,Ganjil
G-19,7F,PJOK,2025/2026,Ganjil
G-04,7A,IPS,2025/2026,Ganjil
G-04,7B,IPS,2025/2026,Ganjil
G-04,7C,IPS,2025/2026,Ganjil
G-04,7D,IPS,2025/2026,Ganjil
G-04,7E,IPS,2025/2026,Ganjil
G-04,7F,IPS,2025/2026,Ganjil
G-06,7A,PENDIDIKAN PANCASILA,2025/2026,Ganjil
G-06,7B,PENDIDIKAN PANCASILA,2025/2026,Ganjil
G-06,7C,PENDIDIKAN PANCASILA,2025/2026,Ganjil
G-06,7D,PENDIDIKAN PANCASILA,2025/2026,Ganjil
G-06,7E,PENDIDIKAN PANCASILA,2025/2026,Ganjil
G-06,7F,PENDIDIKAN PANCASILA,2025/2026,Ganjil
G-07,7A,PENDIDIKAN AGAMA ISLAM,2025/2026,Ganjil
G-07,7B,PENDIDIKAN AGAMA ISLAM,2025/2026,Ganjil
G-07,7C,PENDIDIKAN AGAMA ISLAM,2025/2026,Ganjil
G-11,7D,PENDIDIKAN AGAMA ISLAM,2025/2026,Ganjil
G-11,7E,PENDIDIKAN AGAMA ISLAM,2025/2026,Ganjil
G-11,7F,PENDIDIKAN AGAMA ISLAM,2025/2026,Ganjil
G-12,7A,BAHASA INGGRIS,2025/2026,Ganjil
G-12,7B,BAHASA INGGRIS,2025/2026,Ganjil
G-12,7C,BAHASA INGGRIS,2025/2026,Ganjil
G-12,7D,BAHASA INGGRIS,2025/2026,Ganjil
G-12,7E,BAHASA INGGRIS,2025/2026,Ganjil
G-12,7F,BAHASA INGGRIS,2025/2026,Ganjil
G-14,7A,MATEMATIKA,2025/2026,Ganjil
G-14,7B,MATEMATIKA,2025/2026,Ganjil
G-14,7C,MATEMATIKA,2025/2026,Ganjil
G-14,7D,MATEMATIKA,2025/2026,Ganjil
G-14,7E,MATEMATIKA,2025/2026,Ganjil
G-14,7F,MATEMATIKA,2025/2026,Ganjil
G-20,7A,SENI RUPA,2025/2026,Ganjil
G-20,7B,SENI RUPA,2025/2026,Ganjil
G-20,7C,SENI RUPA,2025/2026,Ganjil
G-20,7D,SENI RUPA,2025/2026,Ganjil
G-22,7E,SENI TARI,2025/2026,Ganjil
G-22,7F,SENI TARI,2025/2026,Ganjil
G-26,7A,BAHASA INDONESIA,2025/2026,Ganjil
G-26,7B,BAHASA INDONESIA,2025/2026,Ganjil
G-15,7C,BAHASA INDONESIA,2025/2026,Ganjil
G-15,7D,BAHASA INDONESIA,2025/2026,Ganjil
G-15,7E,BAHASA INDONESIA,2025/2026,Ganjil
G-15,7F,BAHASA INDONESIA,2025/2026,Ganjil
G-27,7A,ILMU PENGETAHUAN ALAM,2025/2026,Ganjil
G-27,7B,ILMU PENGETAHUAN ALAM,2025/2026,Ganjil
G-27,7C,ILMU PENGETAHUAN ALAM,2025/2026,Ganjil
G-27,7D,ILMU PENGETAHUAN ALAM,2025/2026,Ganjil
G-27,7E,ILMU PENGETAHUAN ALAM,2025/2026,Ganjil
G-27,7F,ILMU PENGETAHUAN ALAM,2025/2026,Ganjil
G-29,7A,INFORMATIKA,2025/2026,Ganjil
G-29,7B,INFORMATIKA,2025/2026,Ganjil
G-13,7C,INFORMATIKA,2025/2026,Ganjil
G-13,7D,INFORMATIKA,2025/2026,Ganjil
G-13,7E,INFORMATIKA,2025/2026,Ganjil
G-13,7F,INFORMATIKA,2025/2026,Ganjil
G-29,7A,KODING & AI,2025/2026,Ganjil
G-29,7B,KODING & AI,2025/2026,Ganjil
G-29,7C,KODING & AI,2025/2026,Ganjil
G-29,7D,KODING & AI,2025/2026,Ganjil
G-29,7E,KODING & AI,2025/2026,Ganjil
G-29,7F,KODING & AI,2025/2026,Ganjil
