id;teacher_id;class_id;subject;academic_year;semester;created_at;updated_at
47a4084d-8e4c-4717-8283-c995fe2bcd67;7fa8079e-18e3-4fdc-bdc9-447fa4b58458;7A;BAHASA INDONESIA;2025/2026;Ganjil;2025-09-14 07:05:13.228226+00;2025-09-14 07:05:13.228226+00
6292c6c2-bcdf-4e1e-91d5-3b10815ffb62;7fa8079e-18e3-4fdc-bdc9-447fa4b58458;7B;BAHASA INDONESIA;2025/2026;Ganjil;2025-09-14 07:03:12.179371+00;2025-09-14 07:03:12.179371+00
0fe0fee0-1cd5-4625-9900-383daf3fbd15;2f57a204-2feb-497a-b158-92ca096e5372;7C;BAHASA INDONESIA;2025/2026;Ganjil;2025-09-14 07:03:12.179371+00;2025-09-14 07:03:12.179371+00
4fa90261-dfe2-4014-96e5-6b3daa3ea0db;2f57a204-2feb-497a-b158-92ca096e5372;7D;BAHASA INDONESIA;2025/2026;Ganjil;2025-09-14 07:03:12.179371+00;2025-09-14 07:03:12.179371+00
1d55ad23-7553-41fb-bcca-1ff55b138430;2f57a204-2feb-497a-b158-92ca096e5372;7E;BAHASA INDONESIA;2025/2026;Ganjil;2025-09-14 07:03:12.179371+00;2025-09-14 07:03:12.179371+00
628d8a1a-b03b-41a3-97ea-107201093e0d;2f57a204-2feb-497a-b158-92ca096e5372;7F;BAHASA INDONESIA;2025/2026;Ganjil;2025-09-14 07:03:12.179371+00;2025-09-14 07:03:12.179371+00
a6447cb4-ecd1-49e1-a7f8-055ce2dec27c;7ec6f64f-ba62-4082-9a03-bd2f40a9b948;7A;BAHASA INGGRIS;2025/2026;Ganjil;2025-09-14 07:05:13.228226+00;2025-09-14 07:05:13.228226+00
b31c19fb-17d9-4299-bd64-d38b3f99446c;7ec6f64f-ba62-4082-9a03-bd2f40a9b948;7B;BAHASA INGGRIS;2025/2026;Ganjil;2025-09-14 07:05:13.228226+00;2025-09-14 07:05:13.228226+00
9f5fb21d-3b1b-4388-a54d-5cec03965e78;7ec6f64f-ba62-4082-9a03-bd2f40a9b948;7C;BAHASA INGGRIS;2025/2026;Ganjil;2025-09-14 07:03:12.179371+00;2025-09-14 07:03:12.179371+00
9cf413b8-35f0-4135-a68d-87486dd0b2b9;7ec6f64f-ba62-4082-9a03-bd2f40a9b948;7D;BAHASA INGGRIS;2025/2026;Ganjil;2025-09-14 07:03:12.179371+00;2025-09-14 07:03:12.179371+00
